"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAC","TRSAC","TO_M","TO","TO_NN","TO_N","TO_F","TO_F_IF","TO_FT","TO_NT","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC","POPR_RA","POPR_RE","TFG","RMM","TMM","TMN","TMG"
2015,"MUNICIPIO",5100805,9400,8567,4663,3904,2385,4829,1353,1179,2224,501,NA,"0,675",NA,NA,129,0,45,0,0,0,0,129,0,0,0,0,129,19,23,28,23.98,5.9,0,2,12,21,3,7,16,1,0,25,3,72,56,77,52,123,4,0,0,1,7,119,1,8,119,1,39,41,41,39.98,1.84,0,9,0,0,36,0,129,44,1,0,12,5,6,2,11,1,0,4,0,6,129,0,0,0,0,54,75,52,1,0,73,3,0,129,0,2930,3200,3470,3181.76,546.91,14,98,10,0,129,0,36,6,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900,NA,58,0,0,7.75,3.83
2015,"MUNICIPIO",5101001,3083,3197,1637,1560,741,1781,675,359,898,303,NA,"0,687",NA,NA,37,0,35,0,0,0,0,37,0,0,0,0,37,23,26,30,26.51,6.17,0,1,10,15,2,8,10,2,0,25,0,18,19,28,9,37,0,0,0,0,1,29,6,1,29,6,38,39,40.25,39.17,1.89,0,9,3,3,22,0,37,35,2,0,6,2,9,2,14,1,1,0,0,1,36,1,0,0,0,20,17,10,2,0,25,0,0,37,0,3125,3360,3500,3342.03,330.85,2,28,4,0,37,0,17,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2885,NA,41.2,0,0,27.03,5.51
2015,"MUNICIPIO",5101209,976,1096,585,511,246,564,286,112,275,124,NA,"0,701",NA,NA,10,0,9,0,0,0,0,10,0,0,0,0,10,21,26,31.5,26,5.56,0,0,0,10,0,0,0,2,0,8,0,4,6,8,2,10,0,0,0,0,1,7,1,1,7,1,38,38,39,38.33,2.18,0,3,1,2,4,0,10,7,1,0,0,0,1,2,3,0,1,0,0,1,10,0,0,0,0,6,4,0,2,0,8,0,0,10,0,2842.5,3257.5,3422.5,3164.5,1162.57,1,6,2,0,9,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,36.36,0,0,0,5.12
2015,"MUNICIPIO",5101258,16047,15342,7583,7759,3875,8848,2619,1960,4525,1274,NA,"0,725",NA,NA,245,0,241,0,0,0,0,245,0,0,0,0,245,21,25,30,25.48,6.19,0,2,56,136,17,34,48,4,0,191,0,98,146,151,94,239,6,0,0,4,21,219,0,25,219,0,38,39,39,38.3,1.61,1,13,35,24,171,0,245,242,3,0,36,46,30,25,78,1,2,6,0,20,245,0,0,0,0,124,121,48,4,0,191,0,0,245,0,2850,3130,3425,3120.93,466.44,20,205,13,0,245,0,90,13,77,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15387,NA,54.14,0,0,8.16,5.61
2015,"MUNICIPIO",5101308,9699,10316,5191,5125,2510,5721,2085,1307,2788,1030,NA,"0,704",NA,NA,140,0,91,0,0,0,0,140,0,0,0,0,140,20,25,30,25.09,6.33,0,0,18,55,8,19,28,5,0,65,0,40,99,83,57,140,0,0,1,0,15,118,6,16,118,6,38,39,41,38.97,2.42,1,19,4,13,58,0,140,99,1,0,23,13,12,11,29,0,1,0,0,11,140,0,0,0,0,67,73,39,6,1,92,0,0,140,0,2990,3317.5,3610,3277.46,555.16,12,106,21,1,139,0,59,12,47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9167,NA,50.22,0,0,7.14,6.08
2015,"MUNICIPIO",5101407,20657,18656,10077,8579,5564,10846,2246,2637,5012,930,NA,"0,675",NA,NA,345,0,341,0,0,0,0,345,0,0,0,0,345,19,23,27,23.81,5.82,5,21,106,179,10,23,77,18,0,223,24,171,174,216,129,345,0,0,0,6,28,292,18,34,292,18,38,39,40,38.71,2.04,0,86,27,37,185,0,345,337,8,0,83,31,84,17,88,5,3,0,0,33,343,1,0,1,0,192,153,77,18,0,223,24,0,345,0,2920,3305,3600,3258.44,521.31,22,287,33,5,340,0,80,16,64,0,0,0,6,2,0,1,0,1,0,2,2,0,1,1,0,0,0,14121,406,68.83,579.71,39.9,17.39,3.87
2015,"MUNICIPIO",5101605,7526,7591,4134,3457,1884,4010,1697,915,1787,755,NA,"0,6",NA,NA,52,0,52,0,0,0,0,52,0,0,0,0,52,20,24,28,25.4,6.22,1,6,15,27,2,1,2,3,0,47,0,6,45,36,16,52,0,0,0,0,4,48,0,4,48,0,38,39,40,38.73,1.7,0,13,5,9,25,0,52,50,1,1,7,4,13,12,10,1,0,0,1,4,50,1,0,1,0,33,19,2,3,0,47,0,0,52,0,3053.75,3298,3656.25,3333.48,491.07,3,43,6,0,52,0,28,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,29.1,0,0,0,3.72
2015,"MUNICIPIO",5101704,33700,31793,16551,15242,8790,18246,4757,4281,8761,2200,NA,"0,693",NA,NA,518,0,516,0,0,0,0,518,0,0,0,0,518,20,24,28,24.4,6.17,4,27,152,268,20,47,60,8,1,442,7,103,415,317,201,502,16,0,0,0,40,469,8,40,469,8,38,39,40,38.53,1.6,2,135,36,58,255,0,518,512,6,0,145,32,126,32,126,2,3,16,0,35,516,0,2,0,0,271,246,60,8,1,442,7,0,518,0,2926.25,3250,3573.75,3232.19,484.75,27,416,57,4,513,0,182,31,151,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27396,7.588,59.13,0,0,11.58,5.4
2015,"MUNICIPIO",5101803,58398,56560,28178,28382,13501,32153,10906,6559,16277,5546,NA,"0,748",NA,NA,1058,0,983,0,0,0,0,1058,0,0,0,0,1058,20,24,29,25.17,6.41,23,55,234,481,77,160,319,32,2,554,142,459,595,654,404,1037,20,0,1,7,123,844,74,131,844,74,38,39,40,38.65,2.14,5,280,69,87,582,0,1058,993,28,10,211,112,215,63,258,13,12,20,10,111,1013,1,15,29,0,565,493,319,32,2,555,142,0,1058,0,2950,3260,3585,3253.78,514.83,63,799,136,9,1032,0,388,44,344,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58398,31.491,65,0,0,7.56,6.64
2015,"MUNICIPIO",5101837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
