"ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAC","TRSAC"
2015,"UF","51",4069,48759,0,13228,21416,0,192,56673,2257,54290,45381,1191,12122,NA,NA,NA,25.55,6.34,1566,192,46,0,339,9571,0,51121,5007,147,56673,5213,0,223,369,2506,55485,228,9109,37899,27706,363,10959,27706,363,10959,NA,NA,NA,38.43,2.08,4069,48759,0,221,0,13228,13889,5007,147,56673,21416,0,192,56673,2257,54290,45381,1191,12122,1566,0,5213,369,223,2506,221,0,55485,56673,228,9109,37899,192,46,0,2920,3225,3530,3199.12,537.73,339,9571,38902,0,51121
2015,"UF","51",8077,1191,56673,1537,35257,0,55715,0,220,28962,5726,169,29110,NA,NA,NA,25.55,6.34,5935,4676,25,0,7,5147,0,4353,34510,13771,0,48759,3284,38180,1927,1115,1102,383,8027,1269,0,55983,4064,0,55983,4064,NA,NA,NA,38.43,2.08,8077,1191,56673,476,56673,1537,2262,34510,13771,0,35257,0,55715,0,220,28962,5726,169,29110,5935,3284,48759,1927,38180,1115,476,56673,1102,0,383,8027,1269,4676,25,0,2920,3225,3530,3199.12,537.73,7,5147,17415,0,4353
2015,"UF","51",147,56673,0,2506,55485,56673,228,9109,37899,27706,363,10959,4069,NA,NA,NA,25.55,6.34,48759,0,221,0,13889,13228,0,192,56673,2257,54290,1191,45381,1566,12122,192,46,339,9571,38902,0,51121,5007,0,51121,5007,NA,NA,NA,38.43,2.08,147,56673,0,5213,369,2506,223,56673,2257,54290,55485,56673,228,9109,37899,27706,363,10959,4069,48759,45381,1191,12122,1566,192,5213,369,46,0,339,9571,38902,0,221,0,2920,3225,3530,3199.12,537.73,13889,13228,21416,0,192
2015,"UF","51",13771,0,3284,1115,1102,0,383,8027,1269,0,55983,4064,8077,NA,NA,NA,25.55,6.34,1191,56673,476,56673,2262,1537,0,55715,0,220,28962,169,5726,5935,29110,4676,25,7,5147,17415,0,4353,34510,0,4353,34510,NA,NA,NA,38.43,2.08,13771,0,3284,48759,1927,1115,38180,0,220,28962,1102,0,383,8027,1269,0,55983,4064,8077,1191,5726,169,29110,5935,4676,48759,1927,25,0,7,5147,17415,56673,476,56673,2920,3225,3530,3199.12,537.73,2262,1537,35257,0,55715
2015,"UF","51",2257,54290,45381,192,46,0,339,9571,38902,0,51121,5007,147,NA,NA,NA,25.55,6.34,56673,0,5213,369,223,2506,56673,228,9109,37899,27706,10959,363,48759,4069,0,221,13889,13228,21416,0,192,56673,0,192,56673,NA,NA,NA,38.43,2.08,2257,54290,45381,1191,12122,192,1566,9109,37899,27706,46,0,339,9571,38902,0,51121,5007,147,56673,363,10959,4069,48759,0,1191,12122,221,0,13889,13228,21416,0,5213,369,2920,3225,3530,3199.12,537.73,223,2506,55485,56673,228
2015,"UF","51",220,28962,5726,4676,25,0,7,5147,17415,0,4353,34510,13771,NA,NA,NA,25.55,6.34,0,3284,48759,1927,38180,1115,0,383,8027,1269,0,4064,55983,1191,8077,56673,476,2262,1537,35257,0,55715,0,0,55715,0,NA,NA,NA,38.43,2.08,220,28962,5726,169,29110,4676,5935,8027,1269,0,25,0,7,5147,17415,0,4353,34510,13771,0,55983,4064,8077,1191,56673,169,29110,476,56673,2262,1537,35257,3284,48759,1927,2920,3225,3530,3199.12,537.73,38180,1115,1102,0,383
2015,"UF","51",37899,27706,363,0,221,0,13889,13228,21416,0,192,56673,2257,NA,NA,NA,25.55,6.34,54290,45381,1191,12122,1566,192,0,339,9571,38902,0,5007,51121,56673,147,0,5213,223,2506,55485,56673,228,9109,56673,228,9109,NA,NA,NA,38.43,2.08,37899,27706,363,10959,4069,0,48759,9571,38902,0,221,0,13889,13228,21416,0,192,56673,2257,54290,51121,5007,147,56673,0,10959,4069,5213,369,223,2506,55485,45381,1191,12122,2920,3225,3530,3199.12,537.73,1566,192,46,0,339
2015,"UF","51",1269,0,55983,56673,476,56673,2262,1537,35257,0,55715,0,220,NA,NA,NA,25.55,6.34,28962,5726,169,29110,5935,4676,0,7,5147,17415,0,34510,4353,0,13771,3284,48759,38180,1115,1102,0,383,8027,0,383,8027,NA,NA,NA,38.43,2.08,1269,0,55983,4064,8077,56673,1191,5147,17415,0,476,56673,2262,1537,35257,0,55715,0,220,28962,4353,34510,13771,0,3284,4064,8077,48759,1927,38180,1115,1102,5726,169,29110,2920,3225,3530,3199.12,537.73,5935,4676,25,0,7
2015,"UF","51",38902,0,51121,0,5213,369,223,2506,55485,56673,228,9109,37899,NA,NA,NA,25.55,6.34,27706,363,10959,4069,48759,0,0,13889,13228,21416,0,56673,192,54290,2257,45381,1191,1566,192,46,0,339,9571,0,339,9571,NA,NA,NA,38.43,2.08,38902,0,51121,5007,147,0,56673,13228,21416,0,5213,369,223,2506,55485,56673,228,9109,37899,27706,192,56673,2257,54290,45381,5007,147,1191,12122,1566,192,46,363,10959,4069,2920,3225,3530,3199.12,537.73,48759,0,221,0,13889
2015,"UF","51",17415,0,4353,3284,48759,1927,38180,1115,1102,0,383,8027,1269,NA,NA,NA,25.55,6.34,0,55983,4064,8077,1191,56673,56673,2262,1537,35257,0,0,55715,28962,220,5726,169,5935,4676,25,0,7,5147,0,7,5147,NA,NA,NA,38.43,2.08,17415,0,4353,34510,13771,3284,0,1537,35257,0,48759,1927,38180,1115,1102,0,383,8027,1269,0,55715,0,220,28962,5726,34510,13771,169,29110,5935,4676,25,55983,4064,8077,2920,3225,3530,3199.12,537.73,1191,56673,476,56673,2262
