"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"MUNICIPIO",5108055,"10167",11291,5884,5407,2798,6032,2461,1338,2915,1154
2015,"MUNICIPIO",5108105,"3513",3418,1903,1515,770,1804,844,374,798,343
2015,"MUNICIPIO",5108204,"3713",4071,2120,1951,808,2178,1085,377,1080,494
2015,"MUNICIPIO",5108303,"3551",3760,2044,1716,1132,2139,489,543,982,191
2015,"MUNICIPIO",5108352,"3040",3052,1643,1409,787,1668,597,364,775,270
2015,"MUNICIPIO",5108402,"268594",252596,125267,127329,64628,149262,38706,31732,75577,20020
2015,"MUNICIPIO",5108501,"10736",10235,5304,4931,2992,5717,1526,1468,2760,703
2015,"MUNICIPIO",5108600,"23937",21382,11188,10194,6209,12216,2957,3064,5894,1236
2015,"MUNICIPIO",5108808,"4590",4932,2582,2350,1265,2612,1055,612,1255,483
2015,"MUNICIPIO",5108857,"3107",2951,1591,1360,810,1656,485,370,787,203
2015,"MUNICIPIO",5108907,"7764",6590,3599,2991,2051,3752,787,1000,1697,294
2015,"MUNICIPIO",5108956,"8640",8093,4388,3705,2211,4580,1302,1041,2099,565
